snapshot_utc,position,document_id,in_this_day_set,section,headline,file
2026-08-27 08:39,1,148422,no,,,
2026-08-27 08:39,2,10012906,yes,Meinung,"A fortune hunter in distress: Trump could be undone by Iran, but not Trumpism",2026-08-27_meinung_fortune-hunter-distress-trump-could-be-undone_ld10012906
2026-08-27 08:39,3,10018376,yes,Wirtschaft,Showdown at VW: How the power center of Europe’s largest industrial group works,2026-08-27_wirtschaft_showdown-vw-power-center-europes-largest-industrial_ld10018376
2026-08-27 08:39,4,10020783,no,Wirtschaft,Umbruch bei VW: Konzern plant laut Medienbericht das Aus an vier deutschen Standorten,
2026-08-27 08:39,5,10021136,no,,,
2026-08-27 08:39,6,10019991,yes,Pro,"A spark that quickly burned out: September 11, 2001 deepened the rift between Russia and the USA",2026-08-27_pro_spark-quickly-burned-out-september-11-2001_ld10019991
2026-08-27 08:39,7,10020811,yes,Zürich,"Suffering fish, stranded trucks, and grounded ships – how the state of emergency changes life on Lake Zurich",2026-08-27_zuerich_suffering-fish-stranded-trucks-grounded-ships-state_ld10020811
2026-08-27 08:39,8,10021167,yes,International,Mail-in voting chaos threatens US midterm elections,2026-08-27_international_mail-voting-chaos-threatens-us-midterm-elections_ld10021167
2026-08-27 08:39,9,10021209,yes,Meinung,Good news for the younger generation: Social networks are finally being forced to take responsibility,2026-08-27_meinung_good-news-younger-generation-social-networks-finally_ld10021209
2026-08-27 08:39,10,10021219,no,,,
2026-08-27 08:39,11,10021245,yes,International,War in Ukraine: Norway seizes Russian ship in Arctic: Zelensky warns against flights over Russia,2026-09-03_international_war-ukraine-norway-seizes-russian-ship-arctic_ld10021245
2026-08-27 08:39,12,10021187,yes,Zürich,The biggest nuisance in urban traffic is facing the axe: The e-scooter,2026-08-27_zuerich_biggest-nuisance-urban-traffic-facing-axe-e_ld10021187
2026-08-27 08:39,13,10020916,no,,,
2026-08-27 08:39,14,10020806,yes,Sport,Pole vaulter Armand Duplantis says: «I absolutely want to break a world record in Zurich.»,2026-08-27_sport-leichtathletik_pole-vaulter-armand-duplantis-says-i-absolutely_ld10020806
2026-08-27 08:39,15,10021232,no,,,
2026-08-27 08:39,16,10020558,no,,,
2026-08-27 08:39,17,10018312,no,,,
2026-08-27 08:39,18,10020959,no,,,
2026-08-27 08:39,19,10020570,no,,,
2026-08-27 08:39,20,10020765,no,,,
2026-08-27 08:39,21,10020437,no,,,
2026-08-27 08:39,22,10020932,no,Meinung,Weltfremde Gesetzgebung: Zu oft hat die EU jüngst die Schweiz und andere Drittstaaten vergessen,
2026-08-27 08:39,23,10020371,no,Schweiz,Strategie gegen Russland: Wie Polen sein Volk wehrhaft macht – und was die Schweiz daraus lernen kann,
2026-08-27 08:39,24,10021133,no,,,
2026-08-27 08:39,25,10021237,no,,,
2026-08-27 08:39,26,10020556,yes,International,A cowshed as a classroom: India’s Cockroach Movement denounces the state of schools,2026-08-27_international_cowshed-as-classroom-indias-cockroach-movement-denounces_ld10020556
2026-08-27 08:39,27,10020948,yes,International,Between fishing quotas and financial stability: Iceland votes on resuming EU accession negotiations,2026-08-27_international_between-fishing-quotas-financial-stability-iceland-votes_ld10020948
2026-08-27 08:39,28,10020847,yes,Wirtschaft,"The data theft in Liechtenstein has repercussions in Switzerland. A law professor says: «If there's a scandal abroad, it inevitably spills over to us.»",2026-08-27_wirtschaft_data-theft-liechtenstein-has-repercussions-switzerland-law_ld10020847
2026-08-27 08:39,29,10016250,no,,,
2026-08-27 08:39,30,10021073,no,,,
2026-08-27 08:39,31,10020895,no,,,
2026-08-27 08:39,32,10021126,no,,,
2026-08-27 08:39,33,10014376,no,,,
2026-08-27 08:39,34,10020764,yes,Mobilität,No fear of engine damage: When plug-in hybrids pay off,2026-08-27_mobilitaet_no-fear-engine-damage-when-plug-hybrids_ld10020764
2026-08-27 08:39,35,10019506,no,,,
2026-08-27 08:39,36,110998,no,,,
2026-08-27 08:39,37,10019339,no,,,
2026-08-27 08:39,38,10005232,no,,,
2026-08-27 08:39,39,10003999,no,,,
2026-08-27 08:39,40,10013926,no,,,
2026-08-27 08:39,41,10014948,no,,,
2026-08-27 08:39,42,10019800,no,,,
2026-08-27 08:39,43,10018102,no,,,
2026-08-27 08:39,44,10018712,no,,,
2026-08-27 08:39,45,10021056,no,,,
2026-08-27 08:39,46,10021055,no,,,
2026-08-27 08:39,47,10020151,no,,,
2026-08-27 08:39,48,10021051,no,Feuilleton,Songs für alle Zeiten: Die sechs grössten Lieder von Dolly Parton,
2026-08-27 08:39,49,10017647,no,,,
2026-08-27 08:39,50,10019032,no,,,
2026-08-27 08:39,51,10020941,no,Meinung,Trumps Sanktionsstrategie gegen Iran hat Lücken – China ist nicht die einzige,
2026-08-27 08:39,52,10020278,no,Meinung,"Das Kunsthaus sollte kostenbewusster denken, statt mit der Schliessung von Räumen zu drohen. Dennoch braucht es die Unterstützung der Stadt Zürich",
2026-08-27 08:39,53,10021246,yes,International,Iran War: Two oil tankers hit naval mines in Strait of Hormuz +++ US ends wave of attacks on targets in Iran,2026-09-02_international_iran-war-two-oil-tankers-hit-naval_ld10021246
2026-08-27 08:39,54,10020904,yes,International,"Naval drones off Romania, warning signals to London: Russia escalates threat to Europe",2026-08-27_international_naval-drones-off-romania-warning-signals-london_ld10020904
2026-08-27 08:39,55,10021150,no,,,
2026-08-27 08:39,56,10021239,no,,,
2026-08-27 08:39,57,10021109,no,,,
2026-08-27 08:39,58,10021124,no,,,
2026-08-27 08:39,59,10020291,no,,,
2026-08-27 08:39,60,10020133,no,,,
2026-08-27 08:39,61,10019641,no,,,
2026-08-27 08:39,62,10014266,yes,Schweiz,Switzerland's forgotten passport,2026-08-27_schweiz_switzerland-s-forgotten-passport_ld10014266
2026-08-27 08:39,63,10021089,no,,,
2026-08-27 08:39,64,10021170,no,,,
2026-08-27 08:39,65,10021104,no,,,
2026-08-27 08:39,66,10021119,no,,,
2026-08-27 08:39,67,10020132,no,,,
2026-08-27 08:39,68,10017724,no,,,
2026-08-27 08:39,69,10020985,no,,,
2026-08-27 08:39,70,10020448,no,,,
2026-08-27 08:39,71,10014790,yes,Feuilleton,"«Heidi Reichinnek? My nightmare» – Renate Werwigk once sat in a Stasi prison, today she fights against the historical revisionists of the Left and the AfD",2026-08-27_feuilleton_heidi-reichinnek-my-nightmare-renate-werwigk-once_ld10014790
2026-08-27 08:39,72,10021220,no,,,
2026-08-27 08:39,73,10019050,no,,,
2026-08-27 08:39,74,10007509,no,,,
