snapshot_utc,position,document_id,in_this_day_set,section,headline,file
2026-08-25 07:27,1,148422,no,,,
2026-08-25 07:27,2,10020798,yes,International,Canadians are tough. Prime Minister Mark Carney is proving that in the trade dispute with the US,2026-08-25_international_canadians-tough-prime-minister-mark-carney-proving_ld10020798
2026-08-25 07:27,3,10020779,yes,Wirtschaft,Canada breaks off tariff negotiations with the US – would that be an option for Switzerland too?,2026-08-25_wirtschaft_canada-breaks-off-tariff-negotiations-us-would_ld10020779
2026-08-25 07:27,4,10020770,no,,,
2026-08-25 07:27,5,10020794,yes,Schweiz,All inhibitions fall at anti-Israel demonstrations; escalation now threatens in Basel,2026-08-25_schweiz_all-inhibitions-fall-anti-israel-demonstrations-escalation_ld10020794
2026-08-25 07:27,6,10020531,yes,Meinung,Trade unions demand a 13th pension fund annuity: That’s a crazy idea,2026-08-25_meinung_trade-unions-demand-13th-pension-fund-annuity_ld10020531
2026-08-25 07:27,7,10020717,yes,Startseite (Deutschland),"He used to sell perfumes, now he sells the AfD program: Ulrich Siegmund's triumphant procession",2026-08-25_deutschland_he-used-sell-perfumes-now-he-sells_ld10020717
2026-08-25 07:27,8,10019878,yes,Feuilleton,Dominik Kaiser sold his TV channel 3plus for over 100 million Swiss francs: «I first had to become aware of what wealth actually means.»,2026-08-25_feuilleton-medien_dominik-kaiser-sold-tv-channel-3plus-over_ld10019878
2026-08-25 07:27,9,10020472,yes,Mobilität,Tesla is pushing into the robotaxis market: with cybercabs that have no steering wheel or pedals,2026-08-25_mobilitaet_tesla-pushing-into-robotaxis-market-cybercabs-have_ld10020472
2026-08-25 07:27,10,10020371,yes,Schweiz,Strategy against Russia: How Poland is making its people more resilient – ​​and what Switzerland can learn from it,2026-08-25_schweiz_strategy-against-russia-poland-making-people-more_ld10020371
2026-08-25 07:27,11,10020892,yes,Panorama,Swiss aircraft makes emergency landing in Azores due to chemical smell,2026-08-25_panorama_swiss-aircraft-makes-emergency-landing-azores-due_ld10020892
2026-08-25 07:27,12,10020761,no,,,
2026-08-25 07:27,13,10020514,yes,Podcast,Ukraine: One of the most important battles of this war is being fought in Odesa on the Black Sea,2026-08-25_podcast-akzent_ukraine-one-most-important-battles-war-being_ld10020514
2026-08-25 07:27,14,1847635,no,,,
2026-08-25 07:27,15,10019619,no,,,
2026-08-25 07:27,16,10020878,no,,,
2026-08-25 07:27,17,10009801,no,,,
