file,document_id,published,section,genre,authors,words,headline_en,url
2026-08-25_deutschland_he-used-sell-perfumes-now-he-sells_ld10020717,10020717,2026-08-25,Startseite (Deutschland),,"Beatrice Achterberg, Saxony-Anhalt",2173,"He used to sell perfumes, now he sells the AfD program: Ulrich Siegmund's triumphant procession",https://www.nzz.ch/deutschland/frueher-verkaufte-er-duefte-heute-das-programm-der-afd-der-triumphzug-des-ulrich-siegmund-ld.10020717
2026-08-25_der-andere-blick_germany-s-party-system-dead-end-it_ld10020767,10020767,2026-08-25,Der andere Blick,Der andere Blick,"Oliver Maksan, Berlin",924,Germany's party system is at a dead end: It cannot remain as it is,https://www.nzz.ch/der-andere-blick/deutschlands-parteiensystem-steckt-in-der-sackgasse-wie-es-ist-kann-es-nicht-bleiben-ld.10020767
2026-08-25_zuerich_zurich-fdp-loses-last-district-school-board_ld10020746,10020746,2026-08-25,Zürich,,Andrea Marti,774,The Zurich FDP loses its last district school board presidency. Përparim Avdili says: «My incomprehension of the GLP could hardly be greater.»,https://www.nzz.ch/zuerich/fdp-zuerich-verliert-letztes-kreisschulpraesidium-an-sp-ld.10020746
2026-08-25_zuerich_zurich-vote-40-meter-building-heights_ld10020168,10020168,2026-08-25,Zürich,Erklärt,Francesca Prader,721,Zurich vote on 40-meter building heights,https://www.nzz.ch/zuerich/zuerich-entscheidet-ueber-40-meter-hochhaeuser-die-abstimmungsvorlage-im-ueberblick-ld.10020168
2026-08-25_schweiz_all-inhibitions-fall-anti-israel-demonstrations-escalation_ld10020794,10020794,2026-08-25,Schweiz,,Sebastian Briellmann,833,All inhibitions fall at anti-Israel demonstrations; escalation now threatens in Basel,https://www.nzz.ch/schweiz/bei-anti-israel-demonstrationen-fallen-alle-hemmungen-hamas-terror-wird-glorifiziert-judenfeindliche-parolen-sind-standard-nun-droht-in-basel-die-eskalation-ld.10020794
2026-08-25_schweiz_people-thought-we-were-rich-i-let_ld10018380,10018380,2026-08-25,Schweiz,Interview,"Matthias Sander, Nyon",1713,"«People thought we were rich, and I let them believe it»: The Paléo founder and longtime city president of Nyon on his recipe for success",https://www.nzz.ch/schweiz/die-leute-hielten-uns-fuer-reich-und-ich-liess-sie-in-diesem-glauben-der-paleo-gruender-und-langjaehrige-stadtpraesident-von-nyon-ueber-sein-erfolgsrezept-ld.10018380
2026-08-25_feuilleton-musik_lucerne-festival-rihm-s-roar-strauss-s_ld10020769,10020769,2026-08-25,Feuilleton,,"Christian Wildhagen, Lucerne",587,"Lucerne Festival: Rihm's Roar, Strauss's Storm, and the Magic of Quiet",https://www.nzz.ch/feuilleton/musik/lucerne-festival-rihm-getoese-strauss-gewitter-und-die-magie-des-leisen-ld.10020769
2026-08-25_feuilleton-medien_dominik-kaiser-sold-tv-channel-3plus-over_ld10019878,10019878,2026-08-25,Feuilleton,Interview,"Rico Bandle (text), Silas Zindel (images)",1966,Dominik Kaiser sold his TV channel 3plus for over 100 million Swiss francs: «I first had to become aware of what wealth actually means.»,https://www.nzz.ch/feuilleton/medien/dominik-kaiser-verkaufte-seinen-tv-sender-3plus-fuer-ueber-100-millionen-franken-ich-musste-mir-zuerst-bewusst-werden-was-reichtum-eigentlich-bedeutet-ld.10019878
2026-08-25_international_canadians-tough-prime-minister-mark-carney-proving_ld10020798,10020798,2026-08-25,International,,"Andreas Scheiner, Chicago",908,Canadians are tough. Prime Minister Mark Carney is proving that in the trade dispute with the US,https://www.nzz.ch/international/mark-carney-trotzt-trump-kanadas-widerstand-im-handelsstreit-ld.10020798
2026-08-25_feuilleton_it-heissersehnte-spaghetti-or-heissersehnte-spagetti-thirty_ld10020743,10020743,2026-08-25,Feuilleton,,Stefan Stirnemann,1371,"Is it «heissersehnte Spaghetti» or «heissersehnte Spagetti»? Thirty years ago, the major spelling reform was passed. Now, the spelling is being reversed",https://www.nzz.ch/feuilleton/heiss-ersehnte-spaghetti-oder-heissersehnte-spagetti-vor-dreissig-jahren-wurde-die-grosse-rechtschreibreform-beschlossen-jetzt-wird-sie-zurueckbuchstabiert-ld.10020743
2026-08-25_feuilleton-buehne_anne-teresa-de-keersmaeker-zurich-theatre-festival_ld10020748,10020748,2026-08-25,Feuilleton,,Lilo Weber,916,Anne Teresa De Keersmaeker at the Zurich Theatre Festival: Dancing to the songs of Jacques Brel,https://www.nzz.ch/feuilleton/buehne/anne-teresa-de-keersmaeker-hommage-an-jacques-brel-am-zuercher-theaterspektakel-ld.10020748
2026-08-25_wirtschaft_canada-breaks-off-tariff-negotiations-us-would_ld10020779,10020779,2026-08-25,Wirtschaft,,"Matthias Benz, Jürg Meier",1022,Canada breaks off tariff negotiations with the US – would that be an option for Switzerland too?,https://www.nzz.ch/wirtschaft/kanada-bricht-die-zollverhandlungen-mit-den-usa-ab-waere-das-auch-fuer-die-schweiz-eine-option-ld.10020779
