file,document_id,published,section,genre,authors,words,headline_en,url
2026-08-27_misc_meta-significantly-restricts-use-children-usa_ld10021135,10021135,2026-08-27,,,,990,Meta significantly restricts its use for children in the USA,https://www.nzz.ch/ld.10021135
2026-08-27_misc_showdown-imminent-vw-s-headquarters_ld10021137,10021137,2026-08-27,,,,963,A showdown is imminent at VW's headquarters,https://www.nzz.ch/ld.10021137
2026-08-27_briefing_meta-significantly-restricts-use-children-usa_ld10021242,10021242,2026-08-27,Briefing,,,1007,Meta significantly restricts its use for children in the USA,https://www.nzz.ch/briefing/meta-schraenkt-die-nutzung-fuer-kinder-in-den-usa-deutlich-ein-ld.10021242
2026-08-27_briefing_showdown-imminent-vw-s-headquarters_ld10021243,10021243,2026-08-27,Briefing,,,994,A showdown is imminent at VW's headquarters,https://www.nzz.ch/briefing/in-der-machtzentrale-von-vw-steht-ein-showdown-bevor-ld.10021243
2026-08-27_misc_office-federal-president-should-not-be-bulwark_ld10021077,10021077,2026-08-27,,,,890,The office of the Federal President should not be a bulwark against the right wing,https://www.nzz.ch/ld.10021077
2026-08-27_misc_9-11-deepened-divide-between-russia-usa_ld10021183,10021183,2026-08-27,,,,1885,9/11 deepened the divide between Russia and the USA,https://www.nzz.ch/ld.10021183
2026-08-27_der-andere-blick_what-cdu-saxony-anhalt-has-fear_ld10021008,10021008,2026-08-27,Der andere Blick,,,1636,What the CDU in Saxony-Anhalt has to fear,https://www.nzz.ch/der-andere-blick/ld.10021008
2026-08-27_misc_wine-cellar-27-08-2026_ld10021286,10021286,2026-08-27,,,,463,Wine cellar 27.08.2026,https://www.nzz.ch/ld.10021286
2026-08-27_misc_flash-flood-nepal-many-dead-over-1300_ld10021260,10021260,2026-08-27,,,,974,Flash flood in Nepal: Many dead and over 1300 missing,https://www.nzz.ch/ld.10021260
2026-08-27_misc_flash-flood-nepal-many-dead-over-1300_ld10021261,10021261,2026-08-27,,,,890,Flash flood in Nepal: Many dead and over 1300 missing,https://www.nzz.ch/ld.10021261
2026-08-27_briefing_flash-flood-nepal-many-dead-over-1300_ld10021358,10021358,2026-08-27,Briefing,,Kathrin Klette,1005,Flash flood in Nepal: Many dead and over 1300 missing,https://www.nzz.ch/briefing/sturzflut-in-nepal-viele-tote-und-ueber-1300-vermisste-ld.10021358
2026-08-27_briefing_flash-flood-nepal-many-dead-over-1300_ld10021362,10021362,2026-08-27,Briefing,,Kathrin Klette,931,Flash flood in Nepal: Many dead and over 1300 missing,https://www.nzz.ch/briefing/sturzflut-in-nepal-viele-tote-und-ueber-1300-vermisste-ld.10021362
2026-08-27_misc_copy-copy-copy-template-dab-evening_ld10021315,10021315,2026-08-27,,,,1552,Copy of copy of copy of template DAB in the evening,https://www.nzz.ch/ld.10021315
2026-08-27_misc_good-morning-switzerland-august-28-2026_ld10021332,10021332,2026-08-27,,,,1092,"Good morning Switzerland, August 28, 2026",https://www.nzz.ch/ld.10021332
