file,document_id,published,section,genre,authors,words,headline_en,url
2026-09-02_deutschland-politik_five-most-important-decisions-saxony-anhalt-what_ld10020924,10020924,2026-09-02,Startseite (Deutschland),Erklärt,"Anna Schiller, Berlin",1089,The five most important decisions in Saxony-Anhalt: what you need to know before election night,https://www.nzz.ch/deutschland/politik/die-fuenf-wichtigsten-entscheidungen-in-sachsen-anhalt-was-sie-vor-dem-wahlabend-wissen-muessen-ld.10020924
2026-09-02_zuerich_if-young-chef-hyped-up-gault-millau_ld10021326,10021326,2026-09-02,Zürich,Interview,"Isabel Heusser, Tobias Marti, Karin Hofer",2030,"«If a young chef is hyped up by Gault-Millau, starts with 15 points and charges 300 Swiss francs for the menu, people get skeptical,» says top chef Didi Bruna",https://www.nzz.ch/zuerich/zuerich-spitzenkoch-didi-bruna-ueber-gault-millau-teueres-essen-und-risotto-ld.10021326
2026-09-02_zuerich_tenant-runs-lucrative-subletting-business-leading-conviction_ld10019521,10019521,2026-09-02,Zürich,,Tom Felber,547,"Tenant runs lucrative subletting business, leading to conviction",https://www.nzz.ch/zuerich/mieter-betreibt-lukratives-geschaeft-mit-untermietern-nun-wurde-er-verurteilt-ld.10019521
2026-09-02_zuerich_city-zurich-gets-serious-about-business-apartments_ld10021912,10021912,2026-09-02,Zürich,,Francesca Prader,464,The City of Zurich gets serious about business apartments and accepts complaints,https://www.nzz.ch/zuerich/business-apartments-in-zuerich-jetzt-macht-die-stadt-ernst-ld.10021912
2026-09-02_meinung_neutrality-essential-swiss-peace-policy-both-domestically_ld10020938,10020938,2026-09-02,Meinung,Gastkommentar,René Roca,757,"Neutrality is essential for Swiss peace policy, both domestically and internationally",https://www.nzz.ch/meinung/die-neutralitaet-war-fuer-die-schweizerische-friedenspolitik-gegen-innen-und-aussen-essenziell-ld.10020938
2026-09-02_meinung_kompass-initiative-who-really-waited-too-long_ld10021486,10021486,2026-09-02,Meinung,Gastkommentar,Alfred Gantner,548,Kompass Initiative: Who really waited too long?,https://www.nzz.ch/meinung/kompass-initiative-wer-hat-hier-wirklich-zu-lange-gewartet-ld.10021486
2026-09-02_meinung_solar-power-misunderstood-over-subsidized_ld10019058,10019058,2026-09-02,Meinung,Gastkommentar,Christof Bucher,784,Solar power: Misunderstood and over-subsidized?,https://www.nzz.ch/meinung/solarstrom-missverstanden-und-kaputtgefoerdert-ld.10019058
2026-09-02_international_iranian-videos-call-assassination-barron-trump-what_ld10021887,10021887,2026-09-02,International,,Anne Allmeling,903,Iranian videos call for the assassination of Barron Trump – what's behind it?,https://www.nzz.ch/international/iranische-videos-rufen-zur-ermordung-von-barron-trump-auf-was-steckt-dahinter-ld.10021887
2026-09-02_wissenschaft_pesticides-bread-normal-but-it-bad_ld10013927,10013927,2026-09-02,Wissenschaft,Erklärt,Nina Himmer,723,Pesticides in bread: It’s normal – but is it bad?,https://www.nzz.ch/wissenschaft/pestizide-im-brot-wie-gefaehrlich-sind-die-rueckstaende-ld.10013927
2026-09-02_feuilleton-musik_authorities-music-work-conductor-i_ld10021802,10021802,2026-09-02,Feuilleton,,Ueli Bernays,559,"The Authorities in Music: The Work, the Conductor, and I",https://www.nzz.ch/feuilleton/musik/die-autoritaeten-in-der-musik-das-werk-der-dirigent-und-ich-ld.10021802
2026-09-02_feuilleton_roman-empire-under-pressure-slave-rules-parthians_ld10021691,10021691,2026-09-02,Feuilleton,,Thomas Ribi,1437,"The Roman Empire is under pressure, a slave rules the Parthians, and in Palestine Jesus preaches about the end of time: Around the year zero, the world began to falter",https://www.nzz.ch/feuilleton/das-roemische-reich-wird-bedraengt-bei-den-parthern-herrscht-eine-sklavin-und-in-palaestina-predigt-jesus-vom-ende-der-zeit-um-das-jahr-null-wurden-europas-fundamente-gelegt-ld.10021691
2026-09-02_feuilleton-musik_lucerne-festival-away-convention-or-maybe-not_ld10021866,10021866,2026-09-02,Feuilleton,,"Christian Wildhagen, Lucerne",1014,Lucerne Festival: Away with convention! Or maybe not?,https://www.nzz.ch/feuilleton/musik/lucerne-festival-weg-mit-der-konvention-oder-lieber-doch-nicht-ld.10021866
2026-09-02_wirtschaft_i-understand-concerns-about-swiss-but-sometimes_ld10020787,10020787,2026-09-02,Wirtschaft,Interview,Jürg Meier,1691,"«I understand the concerns about Swiss, but sometimes they seem to me like phantom pains»",https://www.nzz.ch/wirtschaft/ich-verstehe-die-sorgen-um-die-swiss-aber-manchmal-kommen-sie-mir-vor-wie-phantomschmerzen-ld.10020787
